CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
01100170112607	Alameda	Alameda County Office of Education	Envision Academy for Arts & Technology	37	1	2	0	0	24	5	0	0	69	1617
01100170130401	Alameda	Alameda County Office of Education	Alameda County Juvenile Hall/Court	10	0	0	1	1	17	1	4	0	34	1617
01100170130419	Alameda	Alameda County Office of Education	Alameda County Community	34	0	5	1	1	39	6	2	0	88	1617
01316170131763	Alameda	California School for the Deaf-Fremont (State Spec	California School for the Deaf-Fremont	19	0	2	0	4	2	11	2	0	40	1617
01611190000001	Alameda	Alameda Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	1	0	0	0	1	1617
01611190106401	Alameda	Alameda Unified	Alameda Science and Technology Institute	8	0	25	1	6	1	2	1	0	44	1617
01611190119222	Alameda	Alameda Unified	Nea Community Learning Center	4	1	4	0	0	3	3	1	0	16	1617
01611190130229	Alameda	Alameda Unified	Alameda High	38	1	181	2	16	23	131	11	0	403	1617
01611190130609	Alameda	Alameda Unified	Alameda Community Learning Center	8	1	10	0	1	2	15	6	0	43	1617
01611190130625	Alameda	Alameda Unified	Alternatives in Action	26	0	0	0	0	0	0	0	1	27	1617
01611190132142	Alameda	Alameda Unified	Encinal Junior/Senior High	37	0	53	0	44	39	37	19	0	229	1617
01611190134304	Alameda	Alameda Unified	Island High (Continuation)	20	0	6	0	2	7	14	8	0	57	1617
01611270130294	Alameda	Albany City Unified	MacGregor High (Continuation)	2	0	1	0	0	0	0	1	0	4	1617
01611270130450	Alameda	Albany City Unified	Albany High	45	1	75	0	5	15	115	28	0	284	1617
01611430122697	Alameda	Berkeley Unified	REALM Charter High	26	0	1	2	1	17	1	5	1	54	1617
01611430131177	Alameda	Berkeley Unified	Berkeley High	134	0	68	1	10	125	285	78	1	702	1617
01611430134924	Alameda	Berkeley Unified	Berkeley Technology Academy	4	0	0	0	0	5	0	0	0	9	1617
01611500132225	Alameda	Castro Valley Unified	Castro Valley High	155	1	163	4	38	51	210	65	5	692	1617
01611500133876	Alameda	Castro Valley Unified	Castro Valley Virtual Academy	1	0	0	0	0	0	2	0	0	3	1617
01611500135533	Alameda	Castro Valley Unified	Redwood Continuation High	36	0	2	1	0	2	20	0	0	61	1617
01611680132746	Alameda	Emery Unified	Emery Secondary	4	0	5	0	1	17	3	2	0	32	1617
01611760000001	Alameda	Fremont Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	1	0	0	1	1617
01611760130062	Alameda	Fremont Unified	American High	49	2	269	8	57	18	77	5	0	485	1617
01611760130138	Alameda	Fremont Unified	Robertson High (Continuation)	29	0	5	2	3	3	16	1	0	59	1617
01611760130435	Alameda	Fremont Unified	Vista Alternative	0	0	1	1	0	2	5	0	0	9	1617
01611760130534	Alameda	Fremont Unified	Circle of Independent Learning	6	0	18	1	1	1	12	1	0	40	1617
01611760134270	Alameda	Fremont Unified	Irvington High	49	0	291	6	36	6	82	4	0	474	1617
01611760134452	Alameda	Fremont Unified	John F. Kennedy High	101	1	93	8	25	24	74	6	0	332	1617
01611760135244	Alameda	Fremont Unified	Mission San Jose High	6	0	427	1	5	2	22	2	0	465	1617
01611760138693	Alameda	Fremont Unified	Washington High	80	2	141	3	28	18	110	10	0	392	1617
01611920000001	Alameda	Hayward Unified	Nonpublic, Nonsectarian Schools	1	0	0	0	0	0	0	0	0	1	1617
01611920108670	Alameda	Hayward Unified	Leadership Public Schools - Hayward	86	0	14	5	12	5	5	3	0	130	1617
01611920113902	Alameda	Hayward Unified	Impact Academy of Arts & Technology	78	0	4	1	5	8	7	5	0	108	1617
01611920127944	Alameda	Hayward Unified	Silver Oak High Public Montessori Charter	23	0	2	0	0	4	5	0	2	36	1617
01611920133009	Alameda	Hayward Unified	Brenkwitz High	94	1	4	2	8	18	16	4	1	148	1617
01611920133629	Alameda	Hayward Unified	Hayward High	162	1	17	8	20	45	23	7	0	283	1617
01611920135319	Alameda	Hayward Unified	Mt. Eden High	208	3	62	17	66	41	24	5	0	426	1617
01611920138339	Alameda	Hayward Unified	Tennyson High	186	0	24	11	14	13	7	0	2	257	1617
01612000120931	Alameda	Livermore Valley Joint Unified	Livermore Valley Charter Preparatory High	15	0	7	0	2	0	42	7	0	73	1617
01612000130393	Alameda	Livermore Valley Joint Unified	Vineyard Alternative	14	0	3	1	0	0	27	3	0	48	1617
01612000132670	Alameda	Livermore Valley Joint Unified	Del Valle Continuation High	28	0	0	0	3	2	20	6	0	59	1617
01612000133397	Alameda	Livermore Valley Joint Unified	Granada High	99	2	31	2	14	5	288	28	0	469	1617
01612000134536	Alameda	Livermore Valley Joint Unified	Livermore High	113	0	22	0	16	10	212	23	0	396	1617
01612340130054	Alameda	Newark Unified	Newark Memorial High	150	1	36	7	45	15	47	14	0	315	1617
01612340130484	Alameda	Newark Unified	Crossroads High (Alternative)	11	0	1	1	1	2	4	2	0	22	1617
01612340135426	Alameda	Newark Unified	Bridgepoint High (Continuation)	17	0	0	0	4	1	3	3	0	28	1617
01612420110460	Alameda	New Haven Unified	Core Learning Academy at Conley-Caraballo High	41	0	8	5	5	6	2	2	0	69	1617
01612420110478	Alameda	New Haven Unified	Alternative Learning Academy at Conley-Caraballo H	0	0	0	0	1	3	1	0	0	5	1617
01612420126763	Alameda	New Haven Unified	Decoto School for Independent Study	16	1	5	1	3	4	5	1	0	36	1617
01612420134668	Alameda	New Haven Unified	James Logan High	238	1	181	26	177	56	42	35	0	756	1617
01612590000001	Alameda	Oakland Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	3	0	0	0	3	1617
01612590100065	Alameda	Oakland Unified	Oakland Unity High	52	0	0	0	0	5	0	0	2	59	1617
01612590100701	Alameda	Oakland Unified	MetWest High	19	1	3	0	1	11	2	1	0	38	1617
01612590106906	Alameda	Oakland Unified	Bay Area Technology	7	0	0	0	0	8	2	0	1	18	1617
01612590108944	Alameda	Oakland Unified	Lighthouse Community Charter High	40	0	1	0	0	3	0	5	0	49	1617
01612590110189	Alameda	Oakland Unified	McClymonds High	4	0	1	0	0	44	1	2	3	55	1617
01612590111856	Alameda	Oakland Unified	American Indian Public High	4	0	16	0	0	7	0	1	0	28	1617
01612590112797	Alameda	Oakland Unified	Coliseum College Prep Academy	49	0	0	1	0	7	0	0	0	57	1617
01612590114868	Alameda	Oakland Unified	Oakland Charter High	36	0	35	0	1	5	0	0	0	77	1617
01612590115238	Alameda	Oakland Unified	ARISE High	46	0	1	0	0	0	0	0	0	47	1617
01612590115386	Alameda	Oakland Unified	Civicorps Corpsmember Academy	19	0	2	0	0	21	1	3	0	46	1617
01612590115667	Alameda	Oakland Unified	Oakland International High	46	0	19	0	0	2	4	0	4	75	1617
01612590118224	Alameda	Oakland Unified	Aspire Golden State College Preparatory Academy	31	0	0	0	0	7	0	0	0	38	1617
01612590118653	Alameda	Oakland Unified	Ralph J. Bunche High	11	0	2	0	0	32	0	1	0	46	1617
01612590119859	Alameda	Oakland Unified	Gateway to College at Laney College	15	0	4	0	0	12	5	0	1	37	1617
01612590125161	Alameda	Oakland Unified	Castlemont High	33	0	0	4	2	57	1	0	0	97	1617
01612590125716	Alameda	Oakland Unified	Fremont High	62	0	7	7	0	22	0	0	0	98	1617
01612590126748	Alameda	Oakland Unified	LPS Oakland R & D Campus	48	0	0	1	1	5	0	0	0	55	1617
01612590130146	Alameda	Oakland Unified	Rudsdale Continuation	61	0	6	4	0	42	3	2	2	120	1617
01612590130179	Alameda	Oakland Unified	Street Academy (Alternative)	4	0	2	0	0	6	1	0	0	13	1617
01612590130575	Alameda	Oakland Unified	LIFE Academy	50	0	4	0	0	4	1	0	0	59	1617
01612590130617	Alameda	Oakland Unified	Oakland Military Institute, College Preparatory Ac	45	0	12	0	3	8	4	1	0	73	1617
01612590130666	Alameda	Oakland Unified	Aspire Lionel Wilson College Preparatory Academy	66	0	0	0	0	1	0	0	0	67	1617
01612590132555	Alameda	Oakland Unified	Conservatory of Vocal/Instrumental Arts High	0	0	0	0	0	1	0	0	0	1	1617
01612590132688	Alameda	Oakland Unified	Dewey Academy	60	0	19	3	5	57	7	1	1	153	1617
01612590135905	Alameda	Oakland Unified	Oakland High	39	1	91	2	6	76	3	2	1	221	1617
01612590136051	Alameda	Oakland Unified	Oakland Technical High	80	1	92	1	5	141	93	24	3	440	1617
01612590137943	Alameda	Oakland Unified	Skyline High	121	2	68	3	5	85	19	3	4	310	1617
01612593030772	Alameda	Oakland Unified	Oakland School for the Arts	14	0	1	0	0	23	56	9	1	104	1617
01612596066450	Alameda	Oakland Unified	Madison Park Academy 6-12	34	0	0	0	0	13	1	0	1	49	1617
01612596114011	Alameda	Oakland Unified	Independent Study, Sojourner Truth	10	0	1	0	0	7	4	2	0	24	1617
01612750130286	Alameda	Piedmont City Unified	Millennium High Alternative	2	0	1	0	2	1	18	2	0	26	1617
01612750136515	Alameda	Piedmont City Unified	Piedmont High	10	0	32	0	3	1	123	30	0	199	1617
01612910000001	Alameda	San Leandro Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	1	0	0	1	1617
01612910134528	Alameda	San Leandro Unified	Lincoln High (Continuation)	54	0	6	1	2	19	4	2	0	88	1617
01612910137588	Alameda	San Leandro Unified	San Leandro High	225	0	85	7	48	90	50	9	0	514	1617
01613090000001	Alameda	San Lorenzo Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	1	2	0	0	3	1617
01613090111799	Alameda	San Lorenzo Unified	East Bay Arts High	15	0	1	0	1	9	8	0	0	34	1617
01613090114421	Alameda	San Lorenzo Unified	KIPP King Collegiate High	67	1	24	0	5	14	11	0	0	122	1617
01613090130849	Alameda	San Lorenzo Unified	Arroyo High	179	2	77	6	58	33	43	5	1	404	1617
01613090137745	Alameda	San Lorenzo Unified	Royal Sunset (Continuation)	54	1	3	1	1	18	11	1	0	90	1617
01613090137810	Alameda	San Lorenzo Unified	San Lorenzo High	166	0	26	3	21	39	19	2	1	277	1617
01750930132704	Alameda	Dublin Unified	Dublin High	70	1	149	2	50	20	148	48	0	488	1617
01750930138453	Alameda	Dublin Unified	Valley High (Continuation)	13	0	5	0	0	8	8	1	0	35	1617
01751010000000	Alameda	Pleasanton Unified	District Office	1	0	3	0	0	0	11	0	0	15	1617
01751010000001	Alameda	Pleasanton Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	2	0	0	2	1617
01751010130096	Alameda	Pleasanton Unified	Foothill High	39	2	180	1	22	9	243	14	0	510	1617
01751010130252	Alameda	Pleasanton Unified	Village High	10	0	3	1	1	2	22	3	0	42	1617
01751010130583	Alameda	Pleasanton Unified	Amador Valley High	69	2	208	2	12	8	290	17	0	608	1617
02100250230011	Alpine	Alpine County Office of Education	Alpine County Opportunity	0	1	0	0	0	0	0	0	0	1	1617
03100330330068	Amador	Amador County Office of Education	Amador County Special Education	2	0	0	0	0	0	3	0	0	5	1617
03739810330019	Amador	Amador County Unified	Independence High (Continuation)	1	0	0	0	0	0	8	0	1	10	1617
03739810330050	Amador	Amador County Unified	North Star Independent Study	6	0	0	0	0	0	16	1	0	23	1617
03739810330753	Amador	Amador County Unified	Amador High	20	1	3	0	0	0	100	7	5	136	1617
03739810334755	Amador	Amador County Unified	Argonaut High	23	3	0	0	0	1	85	7	3	122	1617
04100410114991	Butte	Butte County Office of Education	CORE Butte Charter	15	2	1	1	0	3	80	11	0	113	1617
04100410129817	Butte	Butte County Office of Education	Butte County Community - LEAD	2	1	0	0	0	0	1	0	0	4	1617
04100410134213	Butte	Butte County Office of Education	Come Back Butte Charter	2	1	0	0	0	0	6	0	0	9	1617
04100410430066	Butte	Butte County Office of Education	Table Mountain	8	0	0	1	0	2	3	2	0	16	1617
04100410430090	Butte	Butte County Office of Education	Learning Community Charter	7	0	3	0	0	0	17	6	0	33	1617
04100416069256	Butte	Butte County Office of Education	Butte County Special Education	0	0	0	0	0	0	2	0	0	2	1617
04614080430207	Butte	Biggs Unified	Biggs Secondary Community Day	1	0	1	0	0	0	1	0	0	3	1617
04614080430827	Butte	Biggs Unified	Biggs High	13	0	2	0	0	1	13	0	0	29	1617
04614240120394	Butte	Chico Unified	Inspire School of Arts and Sciences	16	1	1	0	0	0	58	4	2	82	1617
04614240430199	Butte	Chico Unified	Oakdale	11	2	1	1	0	1	24	2	1	43	1617
04614240431502	Butte	Chico Unified	Fair View High (Continuation)	15	2	2	2	0	1	25	3	1	51	1617
04614240431676	Butte	Chico Unified	Chico High	107	6	32	1	2	22	242	4	0	416	1617
04614240437558	Butte	Chico Unified	Pleasant Valley High	82	4	28	6	2	8	257	2	0	389	1617
04614320433201	Butte	Durham Unified	Durham High	12	4	0	0	0	0	61	0	0	77	1617
04614400121509	Butte	Feather Falls Union Elementary	Ipakanni Early College Charter	3	1	0	0	0	1	1	0	0	6	1617
04614570125252	Butte	Golden Feather Union Elementary	Pivot Charter School North Valley	1	0	0	0	0	0	14	0	0	15	1617
04615150434803	Butte	Oroville Union High	Las Plumas High	48	6	18	0	1	2	110	11	0	196	1617
04615150435602	Butte	Oroville Union High	Oroville High	24	6	66	0	0	5	81	9	0	191	1617
04615150437566	Butte	Oroville Union High	Prospect High (Continuation)	7	4	2	0	1	1	31	6	0	52	1617
04615310121715	Butte	Paradise Unified	Paradise eLearning Academy	1	0	0	0	0	0	13	0	0	14	1617
04615310432856	Butte	Paradise Unified	Ridgeview High (Continuation)	3	0	0	0	0	0	27	8	0	38	1617
04615310437350	Butte	Paradise Unified	Paradise Senior High	21	1	2	0	0	1	178	20	0	223	1617
04615316112585	Butte	Paradise Unified	HomeTech Charter	1	0	0	0	0	0	11	0	0	12	1617
04755070433946	Butte	Gridley Unified	Esperanza High (Continuation)	6	0	0	0	0	1	1	0	0	8	1617
04755070433953	Butte	Gridley Unified	Gridley High	65	1	4	0	0	0	41	0	0	111	1617
05100580530048	Calaveras	Calaveras County Office of Education	Calaveras River Academy	1	0	0	0	0	0	4	0	0	5	1617
05100580530154	Calaveras	Calaveras County Office of Education	Mountain Oaks	10	1	0	1	0	2	49	6	0	69	1617
05100589010745	Calaveras	Calaveras County Office of Education	Oakendell Community	2	0	0	0	0	0	1	0	0	3	1617
05615560000001	Calaveras	Bret Harte Union High	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	1	0	0	1	1617
05615560530014	Calaveras	Bret Harte Union High	Vallecito Continuation High	5	0	0	0	0	0	16	1	0	22	1617
05615560530121	Calaveras	Bret Harte Union High	John Vierra High	2	0	0	0	0	0	7	0	0	9	1617
05615560532507	Calaveras	Bret Harte Union High	Bret Harte Union High	37	2	0	0	1	0	90	6	0	136	1617
05615640530022	Calaveras	Calaveras Unified	Gold Strike High	4	0	0	0	0	0	8	0	0	12	1617
05615640530055	Calaveras	Calaveras Unified	Calaveras Unified Alternative-Sierra Hills Educati	2	2	0	0	0	1	36	0	0	41	1617
05615640531509	Calaveras	Calaveras Unified	Calaveras High	26	2	1	1	2	3	153	7	0	195	1617
06100660630111	Colusa	Colusa County Office of Education	S. William Abel Community	5	0	0	0	0	0	2	0	0	7	1617
06615980630012	Colusa	Colusa Unified	Colusa Alternative High (Continuation)	4	0	0	0	0	0	2	0	0	6	1617
06615980630046	Colusa	Colusa Unified	Colusa Alternative Home	6	2	1	0	0	0	2	0	0	11	1617
06615980631259	Colusa	Colusa Unified	Colusa High	53	3	1	0	0	0	30	0	0	87	1617
06616060634758	Colusa	Maxwell Unified	Maxwell Sr High	14	0	0	0	0	0	13	0	1	28	1617
06616140630087	Colusa	Pierce Joint Unified	Arbuckle Alternative High (Continuation)	5	0	0	0	0	0	1	0	0	6	1617
06616140635250	Colusa	Pierce Joint Unified	Pierce High	69	0	2	0	0	1	24	0	0	96	1617
06616220630038	Colusa	Williams Unified	Mid Valley High (Continuation)	16	0	0	0	0	0	2	0	0	18	1617
06616220637504	Colusa	Williams Unified	Williams Junior/Senior High	76	1	2	0	0	1	3	0	0	83	1617
07100740114470	Contra Costa	Contra Costa County Office of Education	Making Waves Academy	63	0	2	0	1	8	1	0	0	75	1617
07100740120444	Contra Costa	Contra Costa County Office of Education	Mt. McKinley	17	0	0	0	1	18	5	1	0	42	1617
07100740730614	Contra Costa	Contra Costa County Office of Education	Golden Gate Community Charter	5	0	0	0	0	3	2	0	0	10	1617
07100740731380	Contra Costa	Contra Costa County Office of Education	Clayton Valley Charter High	120	2	38	4	24	18	253	46	0	505	1617
07616300000001	Contra Costa	Acalanes Union High	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	4	0	0	4	1617
07616300107524	Contra Costa	Acalanes Union High	Acalanes Center for Independent Study	3	0	3	1	0	0	25	0	1	33	1617
07616300730283	Contra Costa	Acalanes Union High	Acalanes High	20	0	33	1	7	3	222	19	0	305	1617
07616300731125	Contra Costa	Acalanes Union High	Campolindo High	22	0	41	0	6	6	215	27	0	317	1617
07616300733725	Contra Costa	Acalanes Union High	Las Lomas High	31	1	50	1	17	9	253	9	0	371	1617
07616300734244	Contra Costa	Acalanes Union High	Miramonte High	20	0	43	3	1	4	187	16	1	275	1617
07616480110494	Contra Costa	Antioch Unified	Bidwell Continuation High	19	1	1	0	0	20	4	0	0	45	1617
07616480117218	Contra Costa	Antioch Unified	Dozier-Libbey Medical High	61	5	13	3	13	26	23	5	0	149	1617
07616480730101	Contra Costa	Antioch Unified	Live Oak High (Continuation)	34	2	1	0	0	22	6	0	0	65	1617
07616480730259	Contra Costa	Antioch Unified	Prospects High (Alternative)	48	1	3	1	5	44	27	4	0	133	1617
07616480730465	Contra Costa	Antioch Unified	Deer Valley High	130	1	38	5	40	135	86	16	0	451	1617
07616480730481	Contra Costa	Antioch Unified	Bridges	0	0	0	0	0	1	0	0	0	1	1617
07616480730861	Contra Costa	Antioch Unified	Antioch High	181	2	14	2	10	67	68	8	0	352	1617
07616630130930	Contra Costa	Byron Union Elementary	Vista Oaks Charter	28	0	4	0	0	1	24	2	0	59	1617
07616970737023	Contra Costa	John Swett Unified	John Swett High	27	0	13	0	11	25	26	11	1	114	1617
07616970737619	Contra Costa	John Swett Unified	Willow High	6	0	0	0	0	6	7	1	0	20	1617
07617210000001	Contra Costa	Liberty Union High	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	1	0	0	1	1617
07617210107797	Contra Costa	Liberty Union High	Heritage High	139	1	35	5	48	53	275	16	0	572	1617
07617210730457	Contra Costa	Liberty Union High	Freedom High	217	2	21	6	36	76	231	5	0	594	1617
07617210730572	Contra Costa	Liberty Union High	Independence High	34	2	1	1	2	5	51	1	0	97	1617
07617210733980	Contra Costa	Liberty Union High	Liberty High	203	3	13	1	12	30	245	34	1	542	1617
07617210733998	Contra Costa	Liberty Union High	La Paloma High (Continuation)	29	0	0	1	1	13	19	1	0	64	1617
07617390730440	Contra Costa	Martinez Unified	Vicente Martinez High	10	0	0	0	0	1	12	4	0	27	1617
07617390730473	Contra Costa	Martinez Unified	Briones (Alternative)	8	0	0	1	0	2	13	3	2	29	1617
07617390730549	Contra Costa	Martinez Unified	Alhambra Senior High	71	0	10	0	13	6	128	20	0	248	1617
07617540000000	Contra Costa	Mt. Diablo Unified	District Office	1	0	0	0	0	0	0	0	0	1	1617
07617540000001	Contra Costa	Mt. Diablo Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	2	8	0	0	10	1617
07617540730044	Contra Costa	Mt. Diablo Unified	Northgate High	28	2	63	3	22	6	212	6	11	353	1617
07617540730317	Contra Costa	Mt. Diablo Unified	Horizons School: Independent Study	10	0	6	1	1	1	28	3	2	52	1617
07617540730333	Contra Costa	Mt. Diablo Unified	Gateway High (Continuation)	4	0	0	0	0	0	0	0	0	4	1617
07617540730358	Contra Costa	Mt. Diablo Unified	Prospect High (Continuation)	5	0	0	0	0	0	7	1	0	13	1617
07617540730416	Contra Costa	Mt. Diablo Unified	Crossroads High (Alternative)	11	0	0	0	1	3	1	0	0	16	1617
07617540730424	Contra Costa	Mt. Diablo Unified	Summit High (Continuation)	36	0	5	2	1	4	43	2	2	95	1617
07617540731646	Contra Costa	Mt. Diablo Unified	College Park High	106	0	61	6	26	9	269	7	12	496	1617
07617540731836	Contra Costa	Mt. Diablo Unified	Concord High	115	3	14	0	24	10	100	8	5	279	1617
07617540734566	Contra Costa	Mt. Diablo Unified	Mt. Diablo High	167	1	17	6	12	26	31	4	3	267	1617
07617540734764	Contra Costa	Mt. Diablo Unified	Olympic Continuation High	55	0	1	1	3	18	29	3	0	110	1617
07617540737809	Contra Costa	Mt. Diablo Unified	Ygnacio Valley High	152	1	3	2	6	6	33	4	1	208	1617
07617880730184	Contra Costa	Pittsburg Unified	Black Diamond High (Continuation)	45	0	1	0	0	18	3	5	0	72	1617
07617880735407	Contra Costa	Pittsburg Unified	Pittsburg Senior High	377	1	21	11	52	117	39	31	0	649	1617
07617960000000	Contra Costa	West Contra Costa Unified	District Office	6	0	0	0	0	5	3	0	0	14	1617
07617960000001	Contra Costa	West Contra Costa Unified	Nonpublic, Nonsectarian Schools	1	0	0	0	0	1	3	0	0	5	1617
07617960101477	Contra Costa	West Contra Costa Unified	Leadership Public Schools: Richmond	102	0	3	0	0	9	0	1	0	115	1617
07617960132100	Contra Costa	West Contra Costa Unified	Aspire Richmond Ca. College Preparatory Academy	35	0	5	0	1	11	0	0	0	52	1617
07617960730291	Contra Costa	West Contra Costa Unified	Middle College High	30	0	4	1	4	10	3	0	0	52	1617
07617960730325	Contra Costa	West Contra Costa Unified	Vista High (Alternative)	26	0	2	0	2	11	7	2	0	50	1617
07617960730598	Contra Costa	West Contra Costa Unified	Hercules High	45	0	46	3	76	70	19	4	0	263	1617
07617960732164	Contra Costa	West Contra Costa Unified	De Anza High	131	1	34	4	22	49	21	4	0	266	1617
07617960732941	Contra Costa	West Contra Costa Unified	El Cerrito High	76	1	64	2	9	90	64	4	0	310	1617
07617960733253	Contra Costa	West Contra Costa Unified	Greenwood Academy	52	0	4	1	3	31	6	1	0	98	1617
07617960733659	Contra Costa	West Contra Costa Unified	John F. Kennedy High	108	0	13	2	5	43	2	1	0	174	1617
07617960735316	Contra Costa	West Contra Costa Unified	Pinole Valley High	94	0	35	2	28	32	36	4	0	231	1617
07617960735902	Contra Costa	West Contra Costa Unified	Richmond High	278	0	14	2	8	14	3	1	0	320	1617
07618040000001	Contra Costa	San Ramon Valley Unified	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	0	1	0	1	1617
07618040113118	Contra Costa	San Ramon Valley Unified	Dougherty Valley High	38	1	413	1	41	11	92	24	0	621	1617
07618040730051	Contra Costa	San Ramon Valley Unified	California High	77	0	147	2	31	17	322	57	0	653	1617
07618040730218	Contra Costa	San Ramon Valley Unified	Venture (Alternative)	10	0	4	0	0	4	53	7	1	79	1617
07618040734368	Contra Costa	San Ramon Valley Unified	Monte Vista High	49	1	83	0	14	8	378	33	0	566	1617
07618040736504	Contra Costa	San Ramon Valley Unified	San Ramon Valley High	50	0	34	0	6	2	385	18	0	495	1617
07618040736819	Contra Costa	San Ramon Valley Unified	Del Amigo High (Continuation)	7	0	1	0	3	1	25	1	0	38	1617
08100820106625	Del Norte	Del Norte County Office of Education	Elk Creek	0	1	0	0	0	0	1	0	0	2	1617
08100820106666	Del Norte	Del Norte County Office of Education	Bar-O	4	0	0	0	0	1	0	1	0	6	1617
08100820830042	Del Norte	Del Norte County Office of Education	Del Norte Community	1	1	0	0	0	0	0	0	0	2	1617
08100820830059	Del Norte	Del Norte County Office of Education	Castle Rock	17	6	4	0	0	1	40	9	0	77	1617
08618200833004	Del Norte	Del Norte County Unified	Del Norte High	38	18	9	0	1	4	96	1	0	167	1617
08618200836205	Del Norte	Del Norte County Unified	Sunset High	6	10	0	0	0	1	20	2	0	39	1617
09100900106047	El Dorado	El Dorado County Office of Education	Blue Ridge	1	0	0	0	0	0	0	0	0	1	1617
09100900930016	El Dorado	El Dorado County Office of Education	Golden Ridge	3	0	0	0	0	0	2	0	0	5	1617
09100900930123	El Dorado	El Dorado County Office of Education	Charter Community School Home Study Academy	15	2	0	0	0	0	52	5	1	75	1617
09100900930131	El Dorado	El Dorado County Office of Education	Rite of Passage	39	1	0	0	0	15	8	1	0	64	1617
09618530000001	El Dorado	El Dorado Union High	Nonpublic, Nonsectarian Schools	0	0	0	0	0	0	1	0	0	1	1617
09618530930081	El Dorado	El Dorado Union High	Oak Ridge High	52	2	63	1	10	11	428	32	0	599	1617
09618530930164	El Dorado	El Dorado Union High	Union Mine High	39	1	1	3	1	3	196	16	0	260	1617
09618530930214	El Dorado	El Dorado Union High	EDUHSD Virtual Academy at Shenandoah	1	0	0	0	1	1	13	5	0	21	1617
09618530930222	El Dorado	El Dorado Union High	Vista High	7	2	0	0	0	0	18	1	0	28	1617
09618530932756	El Dorado	El Dorado Union High	El Dorado High	28	6	3	2	1	1	184	10	0	235	1617
09618530934554	El Dorado	El Dorado Union High	Independence Continuation	15	0	0	0	0	2	29	2	0	48	1617
09618530936302	El Dorado	El Dorado Union High	Ponderosa High	44	1	11	0	3	0	328	17	0	404	1617
09619030930040	El Dorado	Lake Tahoe Unified	Mt. Tallac High	24	0	0	0	0	0	15	0	1	40	1617
09619030930107	El Dorado	Lake Tahoe Unified	Transitional Learning Center (Continuation)	5	1	0	0	1	1	1	0	1	10	1617
09619030937805	El Dorado	Lake Tahoe Unified	South Tahoe High	74	0	5	0	15	3	128	1	1	227	1617
09737830121566	El Dorado	Black Oak Mine Unified	American River Charter	2	0	0	0	0	0	8	0	0	10	1617
09737830930073	El Dorado	Black Oak Mine Unified	Golden Sierra Junior Senior High	9	2	1	0	1	1	65	0	0	79	1617
09737830930099	El Dorado	Black Oak Mine Unified	Divide High	1	2	0	0	0	0	6	0	0	9	1617
10101080109991	Fresno	Fresno County Office of Education	Crescent View West Public Charter	111	2	5	0	0	6	24	3	0	151	1617
10101080111682	Fresno	Fresno County Office of Education	Hume Lake Charter	0	0	0	0	0	0	2	0	0	2	1617
10101080119628	Fresno	Fresno County Office of Education	Big Picture Educational Academy	9	0	1	0	0	1	6	0	0	17	1617
10101081030337	Fresno	Fresno County Office of Education	Fresno County Court	14	0	1	0	0	1	4	0	2	22	1617
10101081030899	Fresno	Fresno County Office of Education	Violet Heintz Education Academy	2	0	0	0	0	1	1	0	0	4	1617
10101086069488	Fresno	Fresno County Office of Education	Fresno County Special Education Local Plan Area	3	0	1	0	0	0	1	0	0	5	1617
10621170110270	Fresno	Clovis Unified	Clovis Community Day Secondary	1	0	0	0	0	0	0	0	0	1	1617
10621170113555	Fresno	Clovis Unified	Clovis North High	111	0	93	2	26	29	293	17	0	571	1617
10621170118018	Fresno	Clovis Unified	Clovis Online Charter	26	1	11	0	1	4	55	2	0	100	1617
10621171030196	Fresno	Clovis Unified	Clovis West High	178	4	52	1	17	19	199	18	0	488	1617
10621171030469	Fresno	Clovis Unified	Enterprise Alternative	6	0	0	0	0	1	13	1	0	21	1617
10621171030501	Fresno	Clovis Unified	Buchanan High	157	3	87	0	12	15	307	18	0	599	1617
10621171030683	Fresno	Clovis Unified	Clovis East High	168	7	128	0	21	8	127	16	0	475	1617
10621171031004	Fresno	Clovis Unified	Gateway High (Continuation)	25	1	3	0	0	3	19	1	0	52	1617
10621171031053	Fresno	Clovis Unified	Clovis High	205	8	56	3	6	16	330	16	0	640	1617
10621251030113	Fresno	Coalinga-Huron Unified	Cambridge High	15	0	0	0	0	1	2	0	0	18	1617
10621251030477	Fresno	Coalinga-Huron Unified	Chesnut High (Continuation)	7	0	0	0	0	0	0	0	0	7	1617
10621251031376	Fresno	Coalinga-Huron Unified	Coalinga High	190	0	1	0	0	1	35	1	0	228	1617
